,overall_token_importance
[CLS],9.439063056381623e-07
geoffrey,3.0137158277033672e-06
kelly,7.7026117190958e-06
is,-2.432664992923609e-06
a,1.2004984553715635e-06
dynamic,1.425391797721657e-06
catering,-1.5799683149352046e-06
and,3.0158347924693634e-06
food,2.725790205899729e-07
service,8.500689858886947e-08
professional,1.620702405128659e-06
with,1.058170296415995e-06
extensive,-9.76013335335665e-07
experience,7.103695461688936e-07
as,-3.2609764772416275e-06
an,-2.485472655448398e-06
executive,-4.970533318852643e-06
chef,-2.166896109210231e-06
.,-6.278621155861866e-07
he,4.247180277351918e-06
is,-6.248349433322112e-06
skilled,-5.381962469423948e-07
in,2.4520073962922083e-06
conflict,3.3298207039135506e-06
resolution,4.769912180073352e-06
",",5.169482675511249e-06
menu,-2.41077892232122e-06
planning,3.4810172778908492e-06
",",4.544869344883713e-06
staff,-4.373887703585746e-06
training,7.787204756138965e-06
",",1.544251042486941e-06
and,4.556215637706876e-06
vendor,1.7994098467116724e-06
relations,7.763378279668926e-06
.,-6.708901066625726e-07
geoffrey,2.635746971304628e-06
has,-1.8210361309201581e-06
a,-4.6732275642597755e-07
strong,1.472996116101971e-06
work,-2.3738605018145285e-06
et,8.526762774211487e-07
##hic,2.263277974995642e-06
and,-1.1444293926581555e-06
has,-3.572116544766579e-06
consistently,-1.594359783684065e-06
excelled,-1.2478186487220554e-06
in,-7.027640988579344e-07
managing,-2.8050974606890104e-07
kitchen,-1.0261550498149009e-06
staff,-4.787498685962753e-06
",",3.911422095550638e-06
planning,2.5134262831345805e-06
menu,-5.191844359507761e-06
##s,4.476840319433493e-06
",",9.97419645473404e-07
and,2.15814020290363e-06
ensuring,3.489290099371394e-06
food,-1.1446178262700202e-06
safety,3.7409328052389628e-06
.,-5.980783780938283e-07
he,5.182534297658687e-06
is,-3.4920531904482535e-06
serves,-5.278760793039613e-06
##af,-6.206784011525137e-06
##e,2.7417916822772087e-06
certified,-2.0101573283778432e-06
and,7.509334734939219e-07
holds,-3.5468372639796608e-06
a,-4.466477945529989e-07
degree,-2.4894914125456434e-07
in,-4.4604116448107493e-07
culinary,-6.23191026376111e-07
arts,2.7784213673541267e-06
.,-6.218438281908038e-07
geoffrey,3.7310480110193472e-06
has,-2.3810905684453674e-06
also,-6.075346812862244e-06
received,-4.118726216460917e-06
various,-2.659569682441856e-06
accolades,-1.7020718511122925e-06
for,3.940586076532893e-06
his,2.251927476777397e-06
culinary,-3.7562525177398248e-06
achievements,-1.9760463349920344e-06
and,1.4103499178962858e-06
is,-1.5022491975974338e-06
actively,-3.461111870319036e-06
involved,-2.816021122926959e-06
in,-5.333214527708516e-07
volunteer,2.546197180479654e-06
work,3.3820678787453124e-07
supporting,3.5095902737517595e-06
the,4.436174226337172e-06
republican,-1.9068809049109108e-06
party,-2.8170794902695954e-06
.,-1.0606899189318541e-06
[SEP],-2.906453771850215e-06
RACE,-7.23010011860481e-08
GENDER,9.862688110651163e-07
PARTY,1.5445076417819337e-07
