,overall_token_importance
[CLS],-5.494498623766599e-06
rash,1.5783373614104784e-05
##eed,-2.4387805152675647e-05
jackson,6.95442416672928e-06
is,2.887274728993839e-05
a,1.4480343827672248e-05
dedicated,3.118616123433503e-05
human,3.1935047952298624e-05
resources,8.43680795243144e-05
professional,4.428428021567049e-05
with,1.9374712965286545e-05
extensive,3.1905289711849765e-07
experience,7.885473467712961e-06
in,2.517737022090855e-05
coaching,6.399061860670834e-06
",",5.329045623663615e-06
mentoring,-1.135437966607872e-05
",",7.21806310817749e-06
training,1.8034888563216187e-05
",",6.839773292185469e-06
and,2.393102460482251e-05
development,1.6018513061898855e-05
.,1.1329043310347853e-05
he,2.966106334378517e-06
has,2.794107566829564e-05
successfully,2.957909229179622e-06
managed,2.9472968774967053e-06
training,3.0544342745346926e-05
programs,5.9003773492832455e-06
",",2.545440650875901e-06
evaluated,-6.241687743279666e-06
employee,3.058446218364676e-05
performance,2.032902959646565e-05
",",9.150112936923753e-06
and,4.896423148400987e-06
provided,1.089929175115263e-05
career,3.4343953899771434e-05
counseling,1.4548079012995344e-05
to,1.0248669645030266e-05
a,2.0198641013646655e-05
diverse,2.846106902285284e-05
range,-3.928786835855032e-06
of,5.177471429133058e-06
clients,2.373693452827501e-05
.,1.0284110704168712e-05
rash,1.1515128841659695e-05
##eed,-3.0852105908838356e-05
holds,2.0624954945422272e-05
a,9.36605374805774e-06
bachelor,-1.815338826947655e-05
of,1.3774002505261063e-05
science,1.5380375539840126e-05
in,9.233985430944355e-06
human,5.106554655546041e-06
resource,3.245819826392556e-05
management,2.229234826672181e-05
from,7.134323483419196e-06
the,2.2908606516395956e-05
university,-1.702438961847673e-05
of,2.208690003642212e-06
phoenix,1.6853668490223645e-05
and,1.4392705469696824e-05
has,1.5726895744061252e-05
obtained,3.029024737902632e-06
certification,-3.0560556159278944e-06
##s,1.8890239237001497e-05
in,1.904038980833325e-05
lean,1.0974332837668066e-05
six,2.6797142435600527e-06
sigma,3.4990309172379473e-06
",",2.312007531174049e-06
coaching,5.043826070281818e-06
",",3.1929853205753004e-06
and,1.4469167627806677e-05
motivation,-1.5248701903048762e-05
##al,2.190136622256822e-05
interviewing,1.2310666879559632e-05
.,1.0270534998773676e-05
he,4.416246557439825e-06
is,2.484766343724151e-05
a,1.7025259999695815e-05
member,2.263920993675805e-05
of,2.4541349226537402e-05
several,1.4866531155357788e-05
professional,4.244666227005662e-05
organizations,1.3974634186380574e-05
",",2.9812450495119248e-05
including,2.0385403426908506e-05
the,1.8368565365663093e-05
national,-6.611430972251983e-06
society,5.958605501538215e-06
for,2.093849131252716e-05
human,2.3767670525438956e-05
resources,6.603174653682726e-05
management,3.749520156963592e-05
and,1.581074266952277e-05
the,2.271352721417591e-05
american,5.218503224387985e-07
federation,1.4101237623985978e-05
of,1.6800986263129347e-05
government,3.5121243628452805e-05
employees,3.675525012520642e-05
.,1.1498741920549254e-05
additionally,2.3313012314608695e-05
",",1.0862248441733258e-05
he,1.03431328581059e-05
has,3.5284053329203226e-05
received,1.3086664048528433e-06
awards,6.763792104047346e-06
for,2.0051572589281093e-06
his,1.6056566970689425e-05
outstanding,1.0885798217235822e-05
performance,1.9123571796649305e-05
",",2.052018331177868e-05
including,4.363564475607458e-07
the,1.4980687288220678e-05
"""",2.454536625736292e-05
federal,-1.9732533459636744e-07
government,1.2001993580259743e-05
service,3.7137339063574445e-05
award,1.3877931966568567e-05
"""",2.5645236324298495e-05
and,1.7536248681091472e-06
the,1.662860826902797e-05
"""",3.1587604681014164e-05
friend,-4.5300871436990534e-06
of,1.5268760086962822e-05
social,1.700344537267803e-05
work,4.620849037470029e-05
award,1.3768486115483746e-05
.,1.02874098190025e-05
"""",4.956504433369724e-07
rash,7.752722430566713e-06
##eed,-2.593836612526018e-05
is,3.615934577896535e-05
committed,2.614304106779847e-05
to,1.9818664669274412e-05
continuous,1.5146258410242349e-05
learning,-8.6146332422793e-06
and,1.476658848250991e-05
professional,3.791706992115949e-05
growth,1.3504666596241957e-05
",",1.421031764621711e-05
making,-4.704696174634903e-08
him,4.364165646275312e-06
a,5.801494641801975e-06
valuable,-3.845406981403293e-06
asset,6.494920102649578e-06
to,-3.4315277943148624e-06
any,-1.5640696529285962e-05
human,3.557812278763394e-05
resources,7.565678885949327e-05
team,1.652879123742513e-05
.,1.517667878170044e-05
[SEP],4.666106061045125e-07
RACE,-8.241290139210379e-08
GENDER,6.17139500613817e-07
PARTY,1.228376590667324e-06
