,overall_token_importance
[CLS],-3.8676900856430014e-05
greg,7.472253593357726e-06
murray,9.2783924390295e-06
is,5.207035558176724e-05
seeking,-4.904194302197419e-05
an,-6.244138160247207e-05
education,-1.2356484620067368e-05
coordinator,-1.0858420174924264e-05
position,-5.962043144711346e-05
where,3.990433130080616e-05
he,-1.121279251748272e-05
can,-1.7375359762528103e-05
utilize,-2.8317549272953865e-05
his,1.8937795942542515e-05
skills,3.13751897565487e-05
in,3.7945514147267223e-06
curriculum,-9.378875097094197e-08
development,8.271985976607895e-05
",",3.424924665830442e-05
on,4.4038911531146974e-06
-,2.2851141252907583e-05
the,-1.0693223413973532e-05
-,2.5795830864287357e-05
job,-3.6863267430441245e-05
training,2.4300883926690196e-05
coordination,1.1871449176827742e-05
",",2.936702845295464e-06
communication,1.3997446266378641e-05
",",7.077504313280209e-06
organization,1.56167475445255e-06
",",2.7652783921423403e-05
and,-6.525732891971054e-06
problem,-3.170306117186865e-05
-,6.884250371537768e-05
solving,-7.968903352942121e-06
.,1.5229994005936527e-05
with,7.158780465176662e-05
a,-1.1408644854529141e-05
master,1.0068962501491337e-05
',7.66970648956816e-05
s,1.5096241435183878e-05
in,4.020982753436977e-05
educational,-4.2161498450615816e-05
leadership,-7.2264112666190235e-06
and,1.4671367875206586e-05
a,-9.427609660383192e-06
bachelor,4.197025406703449e-05
',0.0001008902921183855
s,3.8417970358263856e-05
in,4.151997024325861e-05
sociology,-1.0253656614183913e-05
",",3.9933006191186736e-05
greg,-7.267841759371474e-07
has,-3.722237527473961e-06
extensive,1.9118884330302595e-05
experience,2.354423923297038e-05
as,2.1203047302039445e-05
a,-2.2104483233801444e-05
teacher,-3.503279533962126e-05
",",2.5027753343876965e-05
planning,6.390358799134736e-05
and,1.373441233373152e-05
conducting,2.2316645061069336e-05
activities,-1.5062238099697945e-05
",",4.174127752075202e-05
and,2.7834874907024427e-05
promoting,-4.264878036092516e-06
physical,-4.3293090976725055e-05
",",1.6697306306928738e-05
mental,-3.828957543104642e-05
",",6.912277648426035e-05
and,3.5621218642280425e-05
social,-2.454525567326537e-05
development,4.9944444326923645e-05
in,2.3520505511408597e-05
students,4.510020404278658e-05
.,1.5715433125205997e-05
he,1.680287552883433e-05
also,3.0315107827232437e-05
has,4.467499932178431e-06
experience,-2.0210038007495738e-06
as,-3.4556965933825896e-06
a,-2.0961710653961433e-05
security,-4.034381355367078e-06
and,2.3895359646519252e-05
property,2.4787120588922083e-05
clerk,2.3016644503628023e-05
and,7.878322334854393e-06
office,-6.14517249487003e-06
automation,-5.361458961184271e-05
clerk,1.6761465496352467e-05
",",1.0219998801643203e-05
showcasing,8.549944927665278e-07
his,2.166890633703339e-05
clerical,-4.180868080414029e-05
and,2.618746168561915e-05
organizational,-6.137555104015682e-05
skills,1.5650151153006992e-05
.,1.79947342818682e-05
greg,2.013060556265781e-05
',3.458627888208068e-05
s,-4.181158864802966e-06
proficiency,5.698583623619685e-07
in,4.248167552265072e-06
microsoft,-5.102934559857204e-05
office,-3.270069813043189e-05
",",3.821728815084712e-05
teaching,-4.062529365081487e-05
strategies,-3.356044393598756e-05
",",4.7584393844673105e-05
and,7.255182249344513e-06
leadership,-4.49228349026487e-05
make,1.3196565820616537e-05
him,1.0993788662499332e-05
a,-3.950350202931368e-05
valuable,-3.5799967478380464e-05
candidate,-6.561378270156034e-05
for,-5.589257386974164e-05
an,-6.888598392004394e-05
education,-1.569378333054106e-05
coordinator,-1.7388603750294835e-05
role,-8.181877800600789e-05
.,1.3414362136091028e-05
[SEP],-2.181921724938873e-05
RACE,8.220823666249544e-07
GENDER,2.290802325610741e-09
PARTY,-6.588585677036464e-08
